HOLDING_ID	CURRENCY_SOLD_AMOUNT	DESC_CURRENCY_SOLD	CURRENCY_PURCHASED_AMOUNT	DESC_CURRENCY_PURCHASED	SETTLEMENT_DATE	UNREALIZED_APPRECIATION
128822048	672904.77	USD	900192.49	SGD	18-OCT-2024	18678.94
128816654	1699000.0	BRL	300028.84	USD	04-SEP-2024	-1428.77
128792618	109559.02	USD	500000.0	RON	25-OCT-2024	1472.58
128816736	1588831396.0	JPY	10883647.26	USD	17-OCT-2024	-52572.58
128818862	35000.0	NOK	3238.87	USD	19-SEP-2024	-62.39
128820396	17630000.0	INR	209813.51	USD	13-SEP-2024	-383.61
128818934	2099000.0	NZD	1312961.44	USD	26-SEP-2024	675.23
128817618	1474637.97	USD	1345140.0	EUR	25-OCT-2024	15819.31
128779441	105000.0	GBP	136914.98	USD	19-SEP-2024	-1003.04
128792082	2012297.37	USD	72000000.0	TRY	15-OCT-2024	-2959.35
