HOLDING_ID	IDENTIFIERS_ID	IDENTIFIER_ISIN	IDENTIFIER_TICKER	OTHER_IDENTIFIER	OTHER_IDENTIFIER_DESC
137161190	158024631			4SPY  250829C00630190	USER DEFINED
137161193	158024632			4SPY  250829P00479130	USER DEFINED
137161199	158024634			4SPY  250829C00005640	USER DEFINED
137161202	158024635			8AMMF0JA0	USER DEFINED
137161196	158024633			4SPY  250829P00563680	USER DEFINED
137162414	158025631	US3132DNP644			
137161809	158025052	US3138ETQ255			
137161630	158024893	US29250NCB91			
137161797	158025040	US3140XFD324			
137162459	158025676	US29250NCC74			
