HOLDING_ID	TRANSACTION_TYPE	IS_CLEARED	CENTRAL_COUNTER_PARTY	IS_TRIPARTY	REPURCHASE_RATE	MATURITY_DATE
128789390	Reverse repurchase	N		N	4.75	16-AUG-2025
128788545	Reverse repurchase	N		N	4.75	04-JUN-2025
137207180	Reverse repurchase	N		Y	6.29745	16-JAN-2025
136000696	Repurchase	N		Y	4.72	01-NOV-2024
135934189	Repurchase	N		Y	4.83	01-OCT-2024
135976745	Repurchase	N		Y	4.86	01-OCT-2024
136952043	Repurchase	Y	BNP PARIBAS SECURITIES BOND	Y	4.8499992	
136923295	Reverse repurchase	N		Y	5.99	25-NOV-2024
134148045	Repurchase	Y	Fixed Income Clearing Corp.	N	4.87	01-OCT-2024
134077722	Repurchase	N		Y	5.0	01-OCT-2024
