HOLDING_ID	REPURCHASE_COUNTERPARTY_ID	NAME	LEI
134954962	198846	Barclays Bank plc	G5GSEF7VJP5I7OUK5573
128929106	190943	ING Financial Markets LLC	KBVRJ5K57JZ3E2AVWX40
128971974	191204	Barclays Capital, Inc.	G5GSEF7VJP5I7OUK5573
135329275	200593	Royal Bank Canada Toronto	549300HXQQQCCUBS2Z23
132936036	197014	Barclays Capital, Inc.	G5GSEF7VJP5I7OUK5573
133465911	197828	HSBC SECURITIES USA INC	CYYGQCGNHMHPSMRL3R97
135967983	202901	J.P. MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807
135805847	202547	Fixed Income Clearing Corp.	549300H47WTHXPU08X20
128930523	190946	BNP Paribas Securities Corp.	R0MUWSFPU8MPRO8K5P83
128960652	191126	ING Financial Markets LLC	KBVRJ5K57JZ3E2AVWX40
